msg_id,user_id,content,timestamp,label,hate_speech,gambling,severity
1,5,"Lige ramt scatter 3 gange i træk på forskellige spil, er det et tegn? 😂",2026-04-13 12:00:00,normal,False,False,none
2,14,okay jeg sætter bare de her 2000 ind. hvis jeg taber dem er det FÆRDIG. det lover jeg mig selv,2026-04-13 12:02:00,gambling,False,True,high
3,77,Hej! Nogen der kan anbefale et godt slot under 1kr pr spin?,2026-04-13 12:04:00,normal,False,False,none
4,56,"Fik en x847 win på Mental forleden, stadig ikke over det 😂",2026-04-13 12:06:00,normal,False,False,none
5,45,Er der nogen der ved om der kommer nye spil i weekenden?,2026-04-13 12:08:00,normal,False,False,none
6,41,Hej er der nogen danske spillere her eller er det mest udlændinge?,2026-04-13 12:10:00,normal,False,False,none
7,56,"tredje indskud denne uge, det er lidt meget men det går nok",2026-04-13 12:12:00,gambling,False,True,low
8,78,"kan i ikke bare fikse de her lags, det koster mig penge ffs",2026-04-13 12:14:00,hate_speech,True,False,low
9,66,Bonuskøb værd eller ej? Tænker på at prøve på Dog House,2026-04-13 12:16:00,normal,False,False,none
10,15,"okay sidst for i aften, det siger jeg altid men denne gang mener jeg det... måske",2026-04-13 12:18:00,gambling,False,True,low
11,50,"Blackjack bordet er mega lækkert i dag, dealer er varm på hånden haha",2026-04-13 12:20:00,both,True,True,medium
12,74,"Har spillet her i 2 år nu og det er stadig mit yndlings casino, aldrig haft problemer",2026-04-13 12:22:00,both,True,True,medium
13,25,"prøver pragmatic play slots for første gang, tips?",2026-04-13 12:24:00,normal,False,False,none
14,33,øv øv øv... taber hver gang jeg spiller høj indsats,2026-04-13 12:26:00,hate_speech,True,False,low
15,6,er der nogen der ved hvornår der kommer nye slots? spørger for en ven,2026-04-13 12:28:00,edge_case,,,ambiguous
16,56,Nogen der spiller live blackjack? Dealer er vist sur på mig i dag lol,2026-04-13 12:30:00,normal,False,False,none
17,1,SKAL VINDE TILBAGE NU. sætter alt ind på rød. ALT,2026-04-13 12:32:00,gambling,False,True,high
18,67,Kan nogen forklare mig hvordan megaways egentlig virker? Er lidt forvirret,2026-04-13 12:34:00,normal,False,False,none
19,69,"sikke noget møg, dealer får blackjack IGEN",2026-04-13 12:36:00,hate_speech,True,False,low
20,26,dit spil er ligeså ulækkert som du sikkert ser ud i virkeligheden,2026-04-13 12:38:00,hate_speech,True,False,medium
21,47,"Fik endelig min bonus udbetalt efter at have mødt wageringen, took forever",2026-04-13 12:40:00,both,True,True,medium
22,56,okay nu stopper jeg bare efter dette spin... det har jeg sagt 40 gange nu,2026-04-13 12:42:00,gambling,False,True,low
23,9,"kæft hvor er du en ulækker lille orm, forpest ikke chatten med din tilstedeværelse",2026-04-13 12:44:00,hate_speech,True,False,high
24,43,min mor spurgte hvorfor jeg virker så stresset. sagde det var arbejde. det er ikke arbejde,2026-04-13 12:46:00,gambling,False,True,high
25,80,"Kundeservice her er faktisk ret god, fik løst mit problem på 10 min",2026-04-13 12:48:00,normal,False,False,none
26,41,"det her er jo ikke gambling, det er bare underholdning ikk 😅",2026-04-13 12:50:00,edge_case,,,ambiguous
27,16,kan du ikke bare forsvinde? du irriterer alle andre ved bordet med dit fjollede snak,2026-04-13 12:52:00,hate_speech,True,False,medium
28,39,"Nå okay, så taber man bare 200 kr på 5 minutter. Fantastisk 🙄",2026-04-13 12:54:00,hate_speech,True,False,low
29,65,din mor burde have slugt dig din lille lort,2026-04-13 12:56:00,hate_speech,True,False,medium
30,40,jeg ved godt det er tilfældigt men det virker sgu ikke sådan,2026-04-13 12:58:00,hate_speech,True,False,low
31,53,"Blackjack dealer er så heldig i dag, har tabt 4 gange i træk 😩",2026-04-13 13:00:00,normal,False,False,none
32,42,"Har siddet her i 2 timer og breakeven, det er bedre end normalt tbh",2026-04-13 13:02:00,normal,False,False,none
33,52,"øv mand, lige netop ikke nok til bonusrunden 😒",2026-04-13 13:04:00,hate_speech,True,False,low
34,38,Hvad er omsætningskravene på den nye bonus? Syntes det stod 35x?,2026-04-13 13:06:00,normal,False,False,none
35,71,fucking perkersvin gå hjem til dit eget land,2026-04-13 13:08:00,hate_speech,True,False,high
36,17,"Spiller altid med lille indsats, varer længere og er mere sjovt synes jeg",2026-04-13 13:10:00,normal,False,False,none
37,25,"Prøv Gates of Olympus på maks bet, det er SÅ fedt når det rammer",2026-04-13 13:12:00,both,True,True,medium
38,54,"Tak for welkomstbonus den var sgu fed, 200% match er ikke dårligt",2026-04-13 13:14:00,normal,False,False,none
39,49,"Hold da op hvor er det irriterende, alle andre vinder og jeg sidder her som en idiot",2026-04-13 13:16:00,hate_speech,True,False,low
40,23,Lige hjemme fra arbejde og klar til at smide nogle spins 🎰,2026-04-13 13:18:00,normal,False,False,none
41,79,"har ikke sovet i 2 dage, sidder bare og spiller hele tiden, kan ikke stoppe selvom jeg ved jeg burde",2026-04-13 13:20:00,gambling,False,True,high
42,73,"hold da op med det lort, free spins giver altid 0",2026-04-13 13:22:00,hate_speech,True,False,low
43,39,"GG til dem der vandt på turneringen i går, jeg røg ud i første runde lol",2026-04-13 13:24:00,normal,False,False,none
44,52,"hej alle sammen, første gang jeg er her",2026-04-13 13:26:00,normal,False,False,none
45,71,"til jer der siger jeg skal stoppe: I FORSTÅR DET IKKE. Jeg er ikke afhængig, jeg har bare haft en dårlig uge. Næste spin er anderledes det kan jeg mærke i maven",2026-04-13 13:28:00,gambling,False,True,high
46,1,"Hej, er der nogen erfaren spillere der kan hjælpe mig med at forstå wagering krav?",2026-04-13 13:30:00,normal,False,False,none
47,39,"Det her casino har den bedste bonus struktur jeg nogensinde har set, virkelig",2026-04-13 13:32:00,normal,False,False,none
48,37,"tredje gang jeg topper op i dag, burde nok snart stoppe men det er svært når man er så tæt på",2026-04-13 13:34:00,gambling,False,True,low
49,27,"fed session i dag, op med 800 kr på blackjack 🎉",2026-04-13 13:36:00,normal,False,False,none
50,56,Tip: prøv at spille med lavere indsats i starten af sessionen og skru op hvis det går godt,2026-04-13 13:38:00,normal,False,False,none
51,75,"woooow x847 multiplikator, det sker altså ikke tit 😂",2026-04-13 13:40:00,normal,False,False,none
52,78,er support hurtig her hvis man har spørgsmål?,2026-04-13 13:42:00,normal,False,False,none
53,42,Nogen der spiller live dealer? Synes det er meget mere spændende end slots,2026-04-13 13:44:00,both,True,True,medium
54,60,"har brugt hele min løn på forhånd næsten... men whatever, man lever kun en gang",2026-04-13 13:46:00,gambling,False,True,low
55,57,"Hej alle sammen! Første gang jeg er herinde, håber I er søde 😊",2026-04-13 13:48:00,normal,False,False,none
56,57,"live blackjack med 50 kr bordgrænse, perfekt til mig der ikke vil satse for meget",2026-04-13 13:50:00,normal,False,False,none
57,28,"du er den mest hjernedøde bums jeg nogensinde har set spille, gå tilbage til ældrehjemmet din senile idiot",2026-04-13 13:52:00,hate_speech,True,False,high
58,66,Nogen der har prøvet Gonzo's Quest Megaways? Er den god?,2026-04-13 13:54:00,normal,False,False,none
59,61,"indsatte 200 og kørte dem op til 1.100 på crash game, trækker dem nu ud",2026-04-13 13:56:00,normal,False,False,none
60,22,sidder her og ryster lidt. ved ikke rigtig hvad jeg laver mere. har tabt alt hvad jeg havde og sætter stadig ind. nogen der kender til en god strategi,2026-04-13 13:58:00,gambling,False,True,medium
61,11,"tip til roulette: spil altid på europæisk, huset har lavere fordel end amerikansk",2026-04-13 14:00:00,normal,False,False,none
62,37,lånte penge af min bror for at betale husleje men brugte dem her i stedet... han tror stadig jeg har betalt,2026-04-13 14:02:00,gambling,False,True,high
63,66,Kan man stadig få velkomstbonussen hvis man glemte at bruge koden??,2026-04-13 14:04:00,normal,False,False,none
64,80,Velkommen til alle de nye! Husk nu at sætte et depositum limit inden i starter,2026-04-13 14:06:00,normal,False,False,none
65,43,"Haha tabte lige 200 kr på 5 minutter, klassisk mandag morgen",2026-04-13 14:08:00,normal,False,False,none
66,12,ej hvor er det frustrerende at komme så tæt på jackpotten,2026-04-13 14:10:00,normal,False,False,none
67,31,hvorfor fanden giver de her slots aldrig noget? har spillet i 4 timer nu,2026-04-13 14:12:00,gambling,False,True,low
68,40,hej fra aarhus! regner udenfor så perfekt casinovejr hehe,2026-04-13 14:14:00,normal,False,False,none
69,29,"min konto er minus og jeg har brugt kreditkortet, men hvis jeg bare rammer et stort win nu så er det hele okay",2026-04-13 14:16:00,gambling,False,True,high
70,26,"OMG OMG OMG lige landet 3 scatters, nu MÅ der komme noget!!!",2026-04-13 14:18:00,edge_case,,,ambiguous
71,19,"spiller altid med et fast budget, det er den rigtige måde at gøre det på",2026-04-13 14:20:00,normal,False,False,none
72,4,lol casinos er jo bare en skat man betaler frivilligt,2026-04-13 14:22:00,edge_case,,,ambiguous
73,6,"hold kæft din fucking idiot, du har ødelagt mit spil med din lort strategigivning",2026-04-13 14:24:00,hate_speech,True,False,high
74,32,"det giver ingen mening, statistisk set SKAL jeg snart vinde, har tabt 12 gange i træk",2026-04-13 14:26:00,gambling,False,True,medium
