msg_id,pred_hate_speech,pred_gambling
469,none,medium
299,none,medium
433,high,medium
415,none,medium
315,none,high
416,none,medium
108,none,high
154,high,none
229,none,high
273,none,low
81,none,low
22,none,medium
166,none,high
485,none,high
459,none,low
211,none,high
52,none,none
26,none,medium
242,none,high
41,none,high
62,none,high
247,none,low
45,none,high
320,high,high
5,none,low
134,none,medium
251,low,low
374,none,high
230,none,high
59,none,low
105,none,low
136,low,none
409,none,high
9,none,low
476,none,low
