msg_id,user_id,content,true_label,true_hate_speech,true_gambling,pred_hate_speech,pred_gambling,reasoning,actions
142,54,"Godnat alle, trækker mig med et lille plus, kan man ikke klage over 😄",both,True,True,none,none,"Beskeden er positiv og harmløs. Brugeren tager afsked for aftenen og rapporterer et lille overskud på en venlig måde med en smiley. Ingen hadtale eller problematisk spilrelateret adfærd i denne besked. Historikken viser én tidligere episode med uhøflig sprogbrug ('din dumme ko'), men den nye besked giver ikke anledning til indgriben.",Ingen handling nødvendig
394,57,"Starburst er sgu stadig den bedste slot nogensinde, fight me",both,True,True,none,low,"Beskeden er en uformel og venlig ytring om en populær spillemaskine (Starburst). Der er ingen hadefuld tale, trusler eller stødende indhold. Gambling-sværhedsgraden sættes til 'low' da beskeden nævner et specifikt casinospil, men i en harmløs og social kontekst uden bekymrende adfærdsmønstre. Brugerens historik viser generel interesse for casinospil, hvilket er forventet på en sådan platform, dog bemærkes en enkelt kommentar om 'intet loft på indsats' som potentielt kan indikere risikoadfærd, men den nye besked i sig selv giver ingen anledning til bekymring.",Send mail om ansvarligt spil
297,11,"Mega fed session i dag, op med 800 kr så smutter jeg mens jeg er foran hehe",both,True,True,none,medium,"Selve beskeden er positiv og viser sund adfærd med exit-strategi (stoppe mens man er foran). Dog viser den samlede historik flere bekymringstegn: gentagne løfter til sig selv om at stoppe ('én runde mere og så stopper jeg'), umiddelbar tilbagevenden efter pause ('nu er jeg klar igen'), og tegn på chasing excitement (x847 reaktion). Mønsteret antyder rationalisering og svækket impulskontrol, selvom nuværende besked isoleret set er harmløs.",Opret sag i backoffice (ludomani)
441,77,Hvem vinder i aften? Spiller på Danmark naturligvis 🇩🇰,both,True,True,none,low,"Den nye besked er ufarlig og omhandler sandsynligvis en sportsbegivenhed med Danmark. Der er en svag gambling-reference i 'spiller på Danmark', som kan indikere sportsvæddemål, men det er ikke alarmerende. Historikken indeholder derimod alvorlige røde flag: en direkte doxing-trussel og groft sprog, som bør have medført tidligere handling. Den nye besked i sig selv kræver ingen indgriben.",Send mail om ansvarligt spil
173,80,Nogen der kender til et godt tidspunkt at spille slots? Hørte noget om at det er bedre om natten?,both,True,True,none,low,"Beskeden indeholder ingen hadefuld tale. Gambling-severity vurderes som lav, da brugeren spørger til et mønster baseret på en misforståelse (myten om at slots er 'bedre' om natten), hvilket er en almindelig gambler's fallacy. Beskeden er ikke alarmerende i sig selv, men bør evt. følges op med korrekt information om at slots-udfald er tilfældige uanset tidspunkt. Brugerens historik viser positiv adfærd, herunder anbefaling af depositum-limits til andre.",Send mail om ansvarligt spil
463,30,Nogen der ved hvornår turneringen starter? Glæder mig,both,True,True,none,medium,"Den nye besked er i sig selv harmløs og positiv. Men i kontekst af brugerens historik ses flere bekymringstegn: gentagen hemmeligholdelse af spilaktivitet over for ægtefælle (nævnt to gange), søgen efter strategier til at vinde, og tegn på emotionel regulering via spil ('gider ikke mere, det er for åndssvagt'). Mønsteret antyder potentielt problematisk spiladfærd, selvom den aktuelle besked ikke er alarmerende isoleret set.",Opret sag i backoffice (ludomani)
252,54,Husk nu at sætte jeres session grænser folk! Gambling skal være sjovt 🙂,both,True,True,none,none,"Beskeden opfordrer positivt til ansvarligt spil ved at minde andre om at sætte sessiongrænser. Dette er konstruktivt og i tråd med ansvarligt spil-principper. Ingen hadefuld tale eller problematisk gamblingsadfærd at bemærke. Historikken indeholder én tidligere problematisk besked (fornærmelse), men den nye besked er uproblematisk.",Ingen handling nødvendig
241,16,Nogen der har prøvet den nye slot der kom i fredags? Den med vikingerne,both,True,True,none,low,"Den nye besked er et neutralt og venligt spørgsmål om en specifik slot-maskine med vikingetema. Ingen hadefuld tale, trusler eller stødende indhold. Gambling-severity sættes til 'low' da det er en normal og kontekstpassende samtale på en casino-platform, men uden tegn på problematisk spilleadfærd. Den tidligere negative besked i historikken stammer sandsynligvis fra en anden bruger og er ikke relevant for vurderingen af denne specifikke besked.",Send mail om ansvarligt spil
328,16,"Hej, ved nogen om der er free spins i dag?",both,True,True,none,low,"Den nye besked er et neutralt spørgsmål om free spins, hvilket er et legitimt emne på en casino-platform. Der er ingen hadefuld tale eller problematisk indhold i selve beskeden. Historikken viser én bekymrende besked (mulig chikane mod en anden bruger), men den nye besked er uafhængig heraf og harmløs i konteksten.",Send mail om ansvarligt spil
200,70,Hvad pokker er der sket med min favorit slot? Den er forsvundet fra siden???,both,True,True,none,low,"Beskeden indeholder ingen hadefuld tale eller stødende sprogbrug. 'Hvad pokker' er et mildt udtryk uden problematisk indhold. Gambling-severity er lav, da beskeden blot er et spørgsmål om et forsvundet spil på platformen – det er en neutral kundeservicehenvendelse uden tegn på problematisk spilleadfærd. Brugerens historik viser generel interesse for spil og strategier, men intet der indikerer problematisk adfærd.",Send mail om ansvarligt spil
126,43,"Fik lige en gevinst på 450 kr på Book of Dead, vildt!!",both,True,True,none,high,"Brugeren viser tegn på problematisk spilleadfærd. Historikken afslører løgn over for familie om stress relateret til spil, tab af 200 kr på 5 minutter mandag morgen, og nu en begejstret gevinst på 450 kr. Mønsteret indikerer skjult spilaktivitet, emotionel påvirkning og potentielt kompulsivt spil. Den positive reaktion på gevinsten efter et hurtigt tab samme dag er et klassisk tegn på problematisk spilleadfærd, der bør udløse intervention eller ansvarligt spil-dialog.",Sæt spilgrænser / selvudelukkelse
53,42,Nogen der spiller live dealer? Synes det er meget mere spændende end slots,both,True,True,none,low,"Beskeden er en neutral forespørgsel om live dealer spil og udtryk for personlig præference. Ingen hadefuld tale eller bekymrende sprogbrug. Historikken viser en bruger der har spillet i 2 timer og er breakeven, hvilket er et mildt signal at holde øje med, men den nye besked i sig selv er harmløs social interaktion om spilformat.",Send mail om ansvarligt spil
356,38,"Lige hjemtaget 500 kr på blackjack, dagen er reddet 😂",both,True,True,none,high,"Selvom den aktuelle besked isoleret set virker positiv og uskyldig, skal den vurderes i kontekst af brugerens historik. Mønsteret viser flere alvorlige advarselstegn på problemspil: brugeren har overvejet at hæve sin egen indsatte grænse, har siddet oppe til kl. 3 og beskrevet manglende evne til at stoppe, og relationskonflikt med kæreste pga. spil. Udtrykket 'dagen er reddet' efter en gevinst indikerer emotionel afhængighed af spilresultater og tankemønstre typiske for problematisk spiladfærd. Samlet set er der høj risiko, og brugeren bør tilbydes støtteressourcer og muligvis midlertidigt låses fra at hæve sine grænser.",Sæt spilgrænser / selvudelukkelse
86,19,"Hej alle sammen! Første gang jeg prøver dette casino, ser ret fedt ud 😄",both,True,True,none,none,"Beskeden er en harmløs velkomstbesked fra en ny bruger. Ingen hadefuld tale, ingen tegn på problematisk spilreadfærd. Brugerens historik viser ansvarlig spiladfærd med fast budget.",Ingen handling nødvendig
37,25,"Prøv Gates of Olympus på maks bet, det er SÅ fedt når det rammer",both,True,True,none,medium,"Beskeden opfordrer direkte til at spille på maksimumsindsats, hvilket kan fremme uforsvarlig spilleadfærd. Kombineret med brugerens historik som nybegynder inden for Pragmatic Play slots er dette bekymrende, da nye spillere er særligt sårbare over for råd om høje indsatser. Der er ingen hadefuld tale, men gambling-aspektet er moderat bekymrende på grund af den eksplicitte anbefaling af maks bet.",Opret sag i backoffice (ludomani)
76,79,Er der nogen der ved om der kommer flere live dealer borde? Synes udvalget er lidt småt,both,True,True,none,high,"Selve beskeden er harmløs og handler om live dealer borde. Men set i kontekst af brugerens seneste historik, hvor vedkommende beskriver ikke at have sovet i 2 dage og ikke at kunne stoppe med at spille, er den samlede vurdering høj alvorlighed. Historikken indikerer tydelige tegn på problematisk spilleadfærd og tab af kontrol, hvilket kræver intervention uanset den neutrale besked.",Sæt spilgrænser / selvudelukkelse
399,73,Lige landet en x187 multiplikator 😱😱😱 tror ikke mine øjne,both,True,True,none,high,"Den nye besked indeholder ingen hadtale, men brugerens samlede historik viser alvorlige tegn på problematisk spildfærd: brugeren har solgt ejendele (PlayStation) og løjet over for sin partner for at finansiere spil, hvilket er en klassisk advarselstegn for ludomani. Kombineret med tidligere frustrationer over tab og nu begejstring over en stor gevinst (x187 multiplikator) viser historikken et mønster af risikabel spiladfærd. En intervention eller ansvarlighedsdialog bør overvejes.",Sæt spilgrænser / selvudelukkelse
445,16,Cashout tager lidt lang tid i dag eller er det bare mig?,both,True,True,none,medium,"Den nye besked i sig selv er harmløs og handler om en teknisk forespørgsel om cashout-tid. Dog viser brugerens historik flere bekymrende mønstre samlet set: brugeren skjuler sit spil for sin ægtefælle ('min kone tror jeg er på arbejde'), har spillet i mindst 2 timer og tabt 200 kr. uden tydelig bekymring. Kombinationen af hemmelighedskræmmeri og bagatellisering af tab ('lol... sådan er det jo') er advarselssignaler for problematisk spilleadfærd. Moderat risikovurdering anbefales med overvejelse om at vise ansvarligt spil-ressourcer.",Opret sag i backoffice (ludomani)
460,33,"Supporten var super hjælpsomme da jeg havde problemer med min indbetaling, thumbs up 👍",both,True,True,none,low,"Den nye besked er positiv feedback om kundesupport og indeholder ingen hadefuld tale eller bekymrende spilmønstre. Dog viser brugerens historik nogle milde advarsler: et tidligere hadbefuldt angreb på en anden bruger (lav-medium historisk), samt kommentarer om tab og en potentielt risikabel tankegang om at 'tabe vender sig med tålmodighed'. Den nye besked i sig selv er harmløs, men historikken bør holdes under observation ift. ansvarligt spil.",Send mail om ansvarligt spil
153,46,Bare vundet 2000 på Starburst!! 🎉🎉🎉,both,True,True,none,low,"Beskeden indeholder ingen hadefuld tale. Brugeren fejrer en gevinst på 2000 kr. på spillemaskinen Starburst, hvilket er normal aktivitet på en casino-platform. Ingen tegn på problematisk spiliadfærd, tvangsspil eller bekymrende mønstre i historikken.",Send mail om ansvarligt spil
